year,month,temperature_avg,rainfall,humidity_avg
2021,1,18.54,6.1,91.97
2021,2,18.72,1.83,87.21
2021,3,19.43,3.49,84.45
2021,4,20.31,6.69,83.87
2021,5,20.09,12.02,90.65
2021,6,19.48,5.0,90.93
2021,7,19.37,7.91,91.48
2021,8,19.12,6.75,91.06
2021,9,19.36,5.67,91.17
2021,10,19.21,10.73,91.26
2021,11,18.64,11.9,93.13
2021,12,18.61,3.49,89.52
2022,1,18.4,2.78,85.71
2022,2,18.63,2.72,85.04
2022,3,19.84,2.03,84.74
2022,4,19.83,12.6,89.1
2022,5,19.7,6.38,92.52
2022,6,19.32,4.4,91.23
2022,7,19.13,7.33,90.71
2022,8,18.76,8.92,91.9
2022,9,18.92,4.45,89.93
2022,10,18.59,11.07,92.52
2022,11,18.51,6.18,89.07
2022,12,18.04,6.71,90.58
2023,1,17.4,3.06,89.77
2023,2,18.22,3.66,89.64
2023,3,19.25,4.19,88.81
2023,4,20.41,4.59,84.7
2023,5,20.4,4.45,89.71
2023,6,20.43,2.87,87.7
2023,7,19.32,6.05,89.71
2023,8,20.27,2.56,83.16
2023,9,19.17,6.46,91.0
2023,10,19.28,16.72,90.61
2023,11,19.26,22.03,92.27
2023,12,18.97,10.18,93.65
2024,1,18.61,5.93,91.13
2024,2,19.29,2.48,86.86
2024,3,20.55,1.58,75.94
2024,4,22.17,3.27,77.97
2024,5,21.01,15.46,89.35
2024,6,19.8,6.15,91.53
2024,7,19.52,6.99,91.68
2024,8,19.53,8.73,90.29
2024,9,19.46,5.26,91.07
2024,10,19.32,7.96,90.74
2024,11,18.87,19.9,92.63
2024,12,18.95,6.21,88.65
2025,1,18.12,14.2,93.42
2025,2,18.74,1.44,84.29
2025,3,19.71,4.83,83.35
2025,4,19.8,11.24,89.9
2025,5,19.88,8.22,91.87
2025,6,19.31,7.72,91.73
2025,7,19.13,11.36,91.65
2025,8,19.06,5.35,89.06
2025,9,19.09,6.66,90.37
2025,10,19.17,14.31,89.16
2025,11,18.63,29.73,92.5
2025,12,18.47,5.8,90.68
