year,month,ndvi
2021,1,0.5956
2021,2,0.8198
2021,3,0.7988
2021,4,0.6202
2021,5,0.8406
2021,6,0.6858
2021,7,0.3667
2021,8,0.8314
2021,9,0.7077
2021,10,0.2987
2021,11,0.862
2021,12,0.8498
2022,1,0.8111
2022,2,0.7927
2022,3,0.7542
2022,4,0.8049
2022,5,0.5254
2022,6,0.3538
2022,7,0.8052
2022,8,0.3798
2022,9,0.4514
2022,10,0.2638
2022,11,0.8722
2022,12,0.5041
2023,1,0.8328
2023,2,0.8097
2023,3,0.8058
2023,4,0.6157
2023,5,0.8345
2023,6,0.4848
2023,7,0.5452
2023,8,0.6258
2023,9,0.6375
2023,10,0.8535
2023,11,0.487
2023,12,0.7152
2024,1,0.8326
2024,2,0.8392
2024,3,0.8056
2024,4,0.7679
2024,5,0.8176
2024,6,0.7367
2024,7,0.8472
2024,8,0.4938
2024,9,0.7246
2024,10,0.8257
2024,11,0.8751
2024,12,0.8352
2025,1,0.5852
2025,2,0.8104
2025,3,0.8151
2025,4,0.8388
2025,5,0.4083
2025,6,0.5595
2025,7,0.4226
2025,8,0.7151
2025,9,0.4664
2025,10,0.3927
2025,11,0.85
2025,12,0.8431
