year,month,temperature_avg,rainfall,humidity_avg
2021,1,21.15,6.46,91.58
2021,2,21.31,2.05,88.04
2021,3,22.02,3.16,85.84
2021,4,23.23,4.61,83.5
2021,5,23.16,7.39,87.58
2021,6,22.77,2.94,84.97
2021,7,22.76,3.48,84.68
2021,8,22.55,2.53,84.06
2021,9,22.77,2.56,84.4
2021,10,22.33,8.18,87.35
2021,11,21.55,9.85,91.07
2021,12,21.36,3.25,88.74
2022,1,21.22,2.76,85.97
2022,2,21.34,2.42,85.39
2022,3,22.74,2.29,84.13
2022,4,22.79,9.75,88.3
2022,5,23.17,3.16,86.19
2022,6,22.93,1.83,83.3
2022,7,22.61,4.78,83.71
2022,8,22.17,3.63,85.94
2022,9,22.33,1.48,83.97
2022,10,21.69,9.46,89.16
2022,11,21.39,5.44,88.1
2022,12,20.87,6.62,88.97
2023,1,20.09,2.86,88.87
2023,2,20.94,3.71,88.82
2023,3,22.05,4.17,88.13
2023,4,23.42,3.45,83.87
2023,5,23.48,3.7,87.23
2023,6,24.11,1.03,79.33
2023,7,23.15,2.62,80.32
2023,8,24.15,1.98,74.97
2023,9,22.63,4.13,85.63
2023,10,22.22,14.07,88.81
2023,11,22.05,18.27,91.37
2023,12,21.69,9.98,92.97
2024,1,21.29,5.76,90.71
2024,2,22.06,2.63,87.17
2024,3,23.27,1.34,77.65
2024,4,25.05,3.01,78.03
2024,5,24.23,9.77,86.23
2024,6,23.15,3.24,86.9
2024,7,23.22,2.51,83.71
2024,8,22.92,5.45,85.1
2024,9,23.35,1.91,81.47
2024,10,22.42,6.46,88.1
2024,11,21.73,18.32,92.03
2024,12,21.79,5.31,88.45
2025,1,20.81,12.23,93.06
2025,2,21.51,1.18,84.21
2025,3,22.55,3.75,83.55
2025,4,22.78,9.33,89.4
2025,5,23.18,4.03,87.77
2025,6,22.93,2.64,84.13
2025,7,22.75,4.48,83.61
2025,8,22.64,2.38,82.19
2025,9,22.71,3.47,82.97
2025,10,22.38,11.24,85.74
2025,11,21.58,23.13,91.1
2025,12,21.25,5.43,90.35
