year,month,ndvi
2021,1,0.6388
2021,2,0.836
2021,3,0.7908
2021,4,0.8606
2021,5,0.721
2021,6,0.7992
2021,7,0.801
2021,8,0.8144
2021,9,0.8547
2021,10,0.9451
2021,11,0.6363
2021,12,0.8792
2022,1,0.8598
2022,2,0.8182
2022,3,0.7815
2022,4,0.835
2022,5,0.5621
2022,6,0.7676
2022,7,0.8776
2022,8,0.6699
2022,9,0.8263
2022,10,0.8394
2022,11,0.9118
2022,12,0.8484
2023,1,0.8118
2023,2,0.819
2023,3,0.8457
2023,4,0.8763
2023,5,0.8436
2023,6,0.6968
2023,7,0.8226
2023,8,0.8726
2023,9,0.7689
2023,10,0.8444
2023,11,0.8802
2023,12,0.8376
2024,1,0.8673
2024,2,0.848
2024,3,0.833
2024,4,0.796
2024,5,0.842
2024,6,0.8584
2024,7,0.8547
2024,8,0.4736
2024,9,0.9181
2024,10,0.844
2024,11,0.8542
2024,12,0.8504
2025,1,0.5234
2025,2,0.8434
2025,3,0.8222
2025,4,0.8667
2025,5,0.324
2025,6,0.6994
2025,7,0.4562
2025,8,0.743
2025,9,0.6722
2025,10,0.8137
2025,11,0.8654
2025,12,0.8434
